fish_ID,sex,cue,tank,dash_nb_2min_before,dash_nb_2min_after,subuse_prop_2min_before,subuse_prop_2min_after,frozen_prop_2min_before,frozen_prop_2min_after,sig_prop_2min_before,sig_prop_2min_after,chasing_prop_2min_before,chasing_prop_2min_after,matbehav_prop_2min_before,matbehav_prop_2min_after,bottom_prop_2min_before,bottom_prop_2min_after,dash_nb_5min_before,dash_nb_5min_after,subuse_prop_5min_before,subuse_prop_5min_after,frozen_prop_5min_before,frozen_prop_5min_after,sig_prop_5min_before,sig_prop_5min_after,chasing_prop_5min_before,chasing_prop_5min_after,matbehav_prop_5min_before,matbehav_prop_5min_after,bottom_prop_5min_before,bottom_prop_5min_after,weight_g,sl_cm,tl_cm,time_pt,diff_sub_use_2min,diff_sub_use_5min
ST2AC10F,female,alarm,ST2AC10,0,0,0.3916998097873077,0.7553915638357932,0,0.41053310750867006,NA,NA,NA,NA,NA,NA,0.3916998097873077,0.7639325752076781,0,0,0.5374230859755893,0.8977300974684371,0,0.16648786550663963,NA,NA,NA,NA,NA,NA,0.616431861739686,0.9011938248184732,0.11,1.84,2.2,0.5,0.3636917540484855,0.36030701149284783
ST2AC10M,male,alarm,ST2AC10,0,0,0.7378696178454089,0.9296394870554078,0,0.01612226792483265,0.04540895728860453,0,0.16211309009164793,0.056448100653278495,0.20752204738025246,0.056448100653278495,0.7378696178454089,0.9939269295910961,0,0,0.801018795602031,0.8483024792307188,0,0.008180153071237,0.031955885814195895,0.020438935042846863,0.11349651995561684,0.07930267547589455,0.14545240576981272,0.0997416105187414,0.8010187956020309,0.9942336625891279,0.07,1.45,2.11,0.5,0.19176986920999883,0.04728368362868773
ST2AC11F,female,alarm,ST2AC11,0,0,0.34414537973598475,0.8577882616344153,0,0,NA,NA,NA,NA,NA,NA,0.9741128064460827,0.9922037422037422,0,1,0.3284542818093935,0.8362372937843692,0,0.01916347275454091,NA,NA,NA,NA,NA,NA,0.860208673622454,0.9921279786702215,0.11,1.72,NA,72,0.5136428818984307,0.5077830119749757
ST2AC14F,female,alarm,ST2AC14,0,0,0.18929242864467613,0.39999202806122447,0,0.3009406887755102,NA,NA,NA,NA,NA,NA,0.3708682276533926,0.978874362244898,0,0,0.14254428234355793,0.5220387414027976,0,0.1254277835000166,NA,NA,NA,NA,NA,NA,0.2966069588913629,0.9863042828188856,0.13,1.95,2.12,1,0.2106995994165483,0.3794944590592397
ST2AC14M,male,alarm,ST2AC14,0,0,0.5286104939326611,0.9398038903061224,0,0.06778539540816327,0.1837121859511195,0.16737882653061223,0.21671509143736115,0,0.4004272773884806,0.16737882653061223,0.5286104939326611,0.9657286352040817,1,1,0.29273536937954875,0.9403462139083628,0,0.0282519852476991,0.13044764215213853,0.23449845499551447,0.2390282808813267,0.004143270093364787,0.3694759230334652,0.23864172508887926,0.29273536937954875,0.9511512775359671,0.07,1.5,1.91,1,0.4111933963734614,0.6476108445288142
ST2AC15F,female,alarm,ST2AC15,0,0,0.2858697514995715,0.973847014627128,0,0.4444888498121653,NA,NA,NA,NA,NA,NA,0.29447300771208224,0.9938534090000799,0,0,0.33942150688126893,0.9663779317697226,0,0.18526785714285712,NA,NA,NA,NA,NA,NA,0.37360791762471257,0.98971881663113,0.06,1.47,1.82,24,0.6879772631275566,0.6269564248884537
ST2AC15M,male,alarm,ST2AC15,0,0,0,0.9727439852929424,0,0.6379585964351371,0,0,0.014978577549271637,0.08192790344496843,0.014978577549271637,0.08192790344496843,0,0.9867236831588202,0,0,0.11076676996900928,0.9827958422174838,0,0.2659081823027718,0,0.0632662579957356,0.05247092538904995,0.18858941897654583,0.05247092538904995,0.2518556769722814,0.1357592722183345,0.9911247334754796,0.07,1.34,1.77,24,0.9727439852929424,0.8720290722484746
ST2AC16F,female,alarm,ST2AC16,0,0,0.521755528887365,0.9943627059011674,0,0.13564688949304332,NA,NA,NA,NA,NA,NA,0.521755528887365,0.9943627059011675,0,4,0.4389579652655088,0.9943876020663222,0,0.15648391934677555,NA,NA,NA,NA,NA,NA,0.4547918263942131,0.9943876020663222,0.1,1.62,2.27,0.5,0.4726071770138024,0.5554296368008134
ST2AC16M,male,alarm,ST2AC16,0,0,0.5374592833876222,0.9943307212537982,0,0.2698784583399968,0.032153265900908626,0.07395650087957781,0.1351277215840905,0.4527586758355989,0.16728098748499914,0.5267151767151766,0.552417280987485,0.9943307212537982,0,1,0.4356478549284976,0.9944175970671556,0,0.5328378603566072,0.025850861695389846,0.03082486252291285,0.2279409313643788,0.21345442426262287,0.2537917930597686,0.2442792867855357,0.44146471549051636,0.9944175970671555,0.04,1.41,1.72,0.5,0.456871437866176,0.5587697421386579
ST2AC1F,female,alarm,ST2AC1,0,0,0.379058803360192,0.9476091476091476,0.00853763072175553,0.16583240044778505,NA,NA,NA,NA,NA,NA,0.40474027087262127,0.985638893331201,0,0,0.2757125237507917,0.8485585735710715,0.01413047101570052,0.0691184802532911,NA,NA,NA,NA,NA,NA,0.287366245541518,0.8752574570904849,NA,2.91,3.95,4,0.5685503442489557,0.5728460498202798
ST2AC1M,male,alarm,ST2AC1,0,0,0.5953968798217042,0.9515352630737246,0,0.01596833519910443,0.12212412137836448,0,0.4365163723641351,0.01797537182152567,0.5586404937424995,0.01797537182152567,0.6018258186182068,0.9515352630737246,0,2,0.3587386246208207,0.7775270788201967,0,0.01914014330944842,0.05415180506016866,0.004882519580069989,0.48379612653755116,0.198206965505749,0.5379479315977199,0.203089485085819,0.36123870795693186,0.7775270788201968,0.05,0.95,1.99,4,0.3561383832520204,0.418788454199376
