fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
ST2C1M,male,before,control,ST2C1,299.99,0,0,103.143,21.994,0,47.148,22.069,19.725,28.515,43.141999999999996,137.595,0
ST2C2F,female,before,control,ST2C2,299.99,NA,NA,NA,114.095,0,15.244,10.788,19.44,23.969,84.533,144.317,0
ST2C2M,male,before,control,ST2C2,299.99,0,0,72.24600000000001,19.015,0,18.517,47.293,13.396,89.145,27.496,102.215,0
ST2C3F,female,before,control,ST2C3,299.99,NA,NA,NA,0,0,2.8739999999999997,11.742,4.858,83.21000000000001,1.25,194.156,2
ST2C3M,male,before,control,ST2C3,299.99,0,0,0,0,0,4.033,78.864,1.4,112.434,0.5,100.706,0
ST2C4F,female,before,control,ST2C4,299.99,NA,NA,NA,0,0,51.466,154.407,36.871,22.085,16.024,17.226,0
ST2C4M,male,before,control,ST2C4,299.99,13.991,9,89.658,2.252,0,39.645,166.334,19.993000000000002,40.827,6.99,24.495,0
ST2C5F,female,before,control,ST2C5,299.99,NA,NA,NA,6.497,51.919,9.247,0,5.497,0,36.325,247.19299999999998,0
ST2C5M,male,before,control,ST2C5,299.99,51.992,12,122.34899999999999,0,0,4.747,23.994999999999997,11.508,14.862,50.174,192.86599999999999,0
ST2C6F,female,before,control,ST2C6,297.40999999999997,NA,NA,NA,2.751,0,80.047,54.4,22.897000000000002,21.229,67.597,48.896,0
ST2C6M,male,before,control,ST2C6,297.40999999999997,2.247,1,28.752,4.75,0,5.251,38.539,5.392,107.007,32.446999999999996,107.416,0
ST2C7F,female,before,control,ST2C7,297.40999999999997,NA,NA,NA,42.775,2.498,31.86,18.898,52.536,32.045,90.85900000000001,68.627,0
ST2C7M,male,before,control,ST2C7,297.40999999999997,3.002,2,54.498000000000005,0,1.75,39.823,38.209,40.08,64.712,50.862,60.967,0
ST2C8F,female,before,control,ST2C8,297.40999999999997,NA,NA,NA,51.711,0,91.619,14.418,52.464,10.482,112.462,12.748999999999999,0
ST2C8M,male,before,control,ST2C8,297.40999999999997,0,0,14.751,0,0,170.709,24.237,18.999,44.788000000000004,18.497,17.647000000000002,0
ST2C9F,female,before,control,ST2C9,297.40999999999997,NA,NA,NA,5.499,0,7.498,101.97800000000001,4.496,97.59,10.22,69.368,0
ST2C9M,male,before,control,ST2C9,297.40999999999997,13.733,12,16.252,24.922,0,41.284,66.709,22.731,42.202999999999996,84.807,34.134,0
ST2AC10F,female,after,alarm,ST2AC10,305.74,NA,NA,NA,1.059,50.902,0,0,28.653,0,112.654,162.877,0
ST2AC10M,male,after,alarm,ST2AC10,305.74,6.2490000000000006,2,24.246,44.617,2.5010000000000003,0,0,0,0,139.826,164.151,0
ST2AC11F,female,after,alarm,ST2AC11,300.05,NA,NA,NA,46.775,5.75,0,0,0,0,134.702,162.986,1
ST2AC11M,male,after,alarm,ST2AC11,300.05,17.241,6,144.51,5.249,2.751,0,0,0.001,0,139.887,158.46300000000002,0
ST2AC14F,female,after,alarm,ST2AC14,300.97,NA,NA,NA,139.73000000000002,37.75,0,0,0,0,267.74,29.108,0
ST2AC14M,male,after,alarm,ST2AC14,300.97,70.577,12,1.2469999999999999,3.252,8.503,0,0,12.394,0,252.91899999999998,33.349000000000004,1
ST2AC15F,female,after,alarm,ST2AC15,300.16,NA,NA,NA,7.006,55.61,0,0,1.248,0,104.36699999999999,192.707,0
ST2AC15M,male,after,alarm,ST2AC15,300.16,18.990000000000002,6,56.607,2.5,79.815,0,0,0,0,105.267,192.22899999999998,0
ST2AC16F,female,after,alarm,ST2AC16,300.05,NA,NA,NA,0,46.952999999999996,0,0,0,0,147.24599999999998,151.12,4
ST2AC16M,male,after,alarm,ST2AC16,300.05,9.249,2,64.047,0,159.87800000000001,0,0,0,0,85.231,213.144,1
ST2AC1F,female,after,alarm,ST2AC1,300.05,NA,NA,NA,8.011,20.738999999999997,0,0,30.718,4.747999999999999,179.102,83.519,0
ST2AC1M,male,after,alarm,ST2AC1,300.05,1.465,1,59.471999999999994,0,5.743,3.248,6.997,17.657,31.845,144.71,88.587,2
ST2AC2F,female,after,alarm,ST2AC2,300.05,NA,NA,NA,32.433,5.753,0.998,4.248,66.225,34.342,116.102,76.572,0
ST2AC2M,male,after,alarm,ST2AC2,300.05,5.102,5,67.531,0.5,0,19.739,28.977,34.492,50.373999999999995,98.086,66.38,0
ST2AC3F,female,after,alarm,ST2AC3,300.05,NA,NA,NA,154.301,0,2.648,1.555,8.077,18.424,54.985,212.174,0
ST2AC3M,male,after,alarm,ST2AC3,300.05,70.879,21,32.483000000000004,22.883,0,8.15,9.077,44.718,43.069,60.729,132.58599999999998,0
ST2AC4F,female,after,alarm,ST2AC4,300.05,NA,NA,NA,32.928,0.75,18.490000000000002,13.998999999999999,25.148,23.517,169.179,36.74,0
ST2AC4M,male,after,alarm,ST2AC4,300.05,19.003,11,44.916000000000004,29.683,6.493,16.003,9.748,27.745,47.418000000000006,141.992,55.407,7
ST2AC5F,female,after,alarm,ST2AC5,300.05,NA,NA,NA,0.5,255.293,0,0,0,0,298.217,0,0
ST2AC5M,male,after,alarm,ST2AC5,300.05,4.498,2,0.753,0,181.50400000000002,0,0,0,0,68.92,229.659,2
ST2AC6F,female,after,alarm,ST2AC6,300.62,NA,NA,NA,85.101,0,44.319,3.998,27.378,24.099,99.40599999999999,99.627,0
ST2AC6M,male,after,alarm,ST2AC6,300.62,97.753,22,3.246,1.747,0,65.536,12.142,54.57,18.146,110.258,37.498999999999995,0
ST2AC7F,female,after,alarm,ST2AC7,305.74,NA,NA,NA,19.249000000000002,0,14.745,42.109,13.864,73.035,7.993,151.70499999999998,0
ST2AC7M,male,after,alarm,ST2AC7,305.74,0,0,18.503,5.997999999999999,0,40.985,66.054,15.243,29.06,57.611999999999995,93.625,0
ST2AC8F,female,after,alarm,ST2AC8,305.74,NA,NA,NA,46.725,25.25,0,0,0,0,218.703,83.969,0
ST2AC8M,male,after,alarm,ST2AC8,305.74,81.672,10,75.007,1.749,38.502,0,0,28.352999999999998,0,195.49800000000002,80.026,2
ST2AC9F,female,after,alarm,ST2AC9,305.74,NA,NA,NA,45.088,0,1.744,0,40.471,4.863,212.837,44.124,0
ST2AC9M,male,after,alarm,ST2AC9,305.74,14.496,10,62.101,0.786,0.999,0,0,10.237,3.239,219.322,71.385,2
ST2C10F,female,after,control,ST2C10,305.74,NA,NA,NA,6.75,0,93.195,95.125,33.484,28.477,37.714999999999996,15.988,0
ST2C10M,male,after,control,ST2C10,305.74,23.250999999999998,6,65.684,17.256999999999998,0,66.642,27.272,52.285,48.989,39.693,67.46600000000001,0
ST2C11F,female,after,control,ST2C11,306.96000000000004,NA,NA,NA,6.753,0,81.185,41.961999999999996,52.572,23.625999999999998,90.484,15.248000000000001,0
ST2C11M,male,after,control,ST2C11,306.96000000000004,15.339,4,186.34199999999998,0,0,76.625,66.679,37.361,21.725,87.974,12.997,0
ST2C12F,female,after,control,ST2C12,307.97,NA,NA,NA,25.016000000000002,0,89.617,25.484,35.944,16.647,70.36500000000001,62.215,0
ST2C12M,male,after,control,ST2C12,307.97,2.25,1,37.534,37.508,1.256,73.331,18.744,47.730999999999995,21.743000000000002,88.96900000000001,54.552,3
ST2C13F,female,after,control,ST2C13,300.05,NA,NA,NA,65.758,11.001000000000001,30.496,35.669,30.794999999999998,60.788000000000004,25.740000000000002,114.687,0
ST2C13M,male,after,control,ST2C13,300.05,1.4969999999999999,2,21.741,6.245,0,0,29.794,13.378,113.548,14.737,126.779,1
ST2C14F,female,after,control,ST2C14,297.49,NA,NA,NA,6.754,13.497,38.051,78.25500000000001,45.056,41.532,33.246,58.102999999999994,1
ST2C14M,male,after,control,ST2C14,297.49,17.502,11,72.827,0,0.75,37.494,74.284,45.25,48.863,26.18,63.335,0
ST2C15F,female,after,control,ST2C15,302.37,NA,NA,NA,1.998,0.75,42.604,3.999,66.09700000000001,15.968,117.426,53.882000000000005,1
ST2C15M,male,after,control,ST2C15,302.37,6.999,1,144.694,0,2.252,82.465,1.999,64.28699999999999,18.744,91.333,40.254000000000005,2
ST2C1F,female,after,control,ST2C1,300.05,NA,NA,NA,1.9969999999999999,0,93.313,72.865,34.538,28.486,43.992,25.31,0
ST2C1M,male,after,control,ST2C1,300.05,0,0,22.245,0,0,143.596,37,60.076,14.291,30.233,13.104,1
ST2C2F,female,after,control,ST2C2,300.05,NA,NA,NA,211.143,0,0,6.996,6.242,6.7490000000000006,59.247,219.323,0
ST2C2M,male,after,control,ST2C2,300.05,1.002,1,17.745,15.258000000000001,0,26.737000000000002,7.997,21.067,91.426,47.984,102.84899999999999,0
ST2C3F,female,after,control,ST2C3,300.05,NA,NA,NA,15.745,0,14.07,8.254999999999999,16.746,65.712,37.974999999999994,155.406,1
ST2C3M,male,after,control,ST2C3,300.05,0,0,1.251,15.751,0,16.073,21.993,17.489,93.923,36.969,111.65899999999999,0
ST2C4F,female,after,control,ST2C4,300.05,NA,NA,NA,0,0,69.517,104.846,30.731,49.335,26.717,16.727,0
ST2C4M,male,after,control,ST2C4,300.05,1,1,44.237,8.668,0,9.395999999999999,109.889,8.492,86.093,2.001,82.361,0
ST2C5F,female,after,control,ST2C5,300.05,NA,NA,NA,1,2.001,27.303,39.512,10.993,21.433,68.253,130.88,0
ST2C5M,male,after,control,ST2C5,300.05,61.481,14,130.685,0,0,26.394,41.111000000000004,15.169,20.418,51.494,143.737,1
ST2C6F,female,after,control,ST2C6,302.5,NA,NA,NA,2.497,0,37.738,6,58.057,10.145999999999999,124.013,64.26,0
ST2C6M,male,after,control,ST2C6,302.5,17.244,12,171.248,3.252,0,26.237,2.997,53.449,24.483,114.15,77.749,0
ST2C7F,female,after,control,ST2C7,305.74,NA,NA,NA,23.497,5.253,27.586000000000002,37.410000000000004,34.342,58.681,52.985,90.35799999999999,0
ST2C7M,male,after,control,ST2C7,305.74,0,0,118.04599999999999,0,4.501,44.98,41.825,45.751999999999995,81.895,15.988,73.602,1
ST2C8F,female,after,control,ST2C8,305.74,NA,NA,NA,22.749,0,89.31899999999999,6.755,71.273,7.746,120.193,7.499,0
ST2C8M,male,after,control,ST2C8,305.74,3.2569999999999997,3,85.133,0,0,115.717,31.988,75.232,14.003,63.699,2.998,0
ST2C9F,female,after,control,ST2C9,305.74,NA,NA,NA,12.747,0,79.782,5.243,71.23,13.742,114.603,16.429000000000002,0
ST2C9M,male,after,control,ST2C9,305.74,54,30,10.741,0,0,112.29,15.494,75,5.746,85.44200000000001,7.898,0
