fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bottom_s,subuse_s,subuse_prop,frozen_prop,matbehav_s
ST2C12M,male,before,control,ST2C12,121.29,1.002,1,76.416,0,0,0,37.009,0,39.989,10.9,32.620999999999995,0,43.520999999999994,43.520999999999994,0.35881770962156806,0,77.41799999999999
ST2C13F,female,before,control,ST2C13,116.66,NA,NA,NA,12.5,6.498,12.898,14.47,20.494,17.494,8.996,41.56700000000001,0,50.56300000000001,38.06300000000001,0.32627292988170764,0.05570032573289903,NA
ST2C13M,male,before,control,ST2C13,116.66,0.75,1,11.252,0,0,12.138,7.254,25.25,34.914,6.031000000000001,30.557,0,36.588,36.588,0.3136293502485856,0,12.002
ST2C14F,female,before,control,ST2C14,116.66,NA,NA,NA,2.25,2.247,23.994999999999997,8.495,26.957,7.497,19.209,28.742,0,47.951,45.701,0.3917452425852906,0.01926110063432196,NA
ST2C14M,male,before,control,ST2C14,116.66,6.2509999999999994,4,84.094,0,10.002,23.247,9.997,27.705,10.491,12.817,30.249,1,43.066,43.066,0.36915823761357797,0.08573632779015945,90.345
ST2C15F,female,before,control,ST2C15,117.56,NA,NA,NA,0,0,60.875,0,28.46,0,27.385,0,0,27.385,27.385,0.23294487921061585,0,NA
ST2C15M,male,before,control,ST2C15,117.56,0,0,6.753,0,0,100.735,0,9.994,0,5.994,0,0,5.994,5.994,0.050986730180333444,0,6.753
ST2C1F,female,before,control,ST2C1,116.66,NA,NA,NA,10.12,0,35.484,6.652,13.244,4.494,45.77,10.498,0,56.268,46.148,0.39557689010800623,0,NA
ST2C1M,male,before,control,ST2C1,116.66,0,0,48.514,4.998,0,34.241,8.148,16.483,9.645,22.176,25.221,0,47.397,42.399,0.36344076804388825,0,48.514
ST2C2F,female,before,control,ST2C2,116.66,NA,NA,NA,12.998,0,5.25,5.184,7.736000000000001,15.728,23.387,58.824,0,82.211,69.213,0.5932881878964512,0,NA
ST2C2M,male,before,control,ST2C2,116.66,0,0,70.494,0.753,0,5.75,10.395,9.237,18.49,14.746,57.492,0,72.238,71.485,0.6127635864906567,0,70.494
ST2C3F,female,before,control,ST2C3,116.66,NA,NA,NA,0,0,0,7.996,0,21.855,0,86.314,0,86.314,86.314,0.7398765643751071,0,NA
ST2C3M,male,before,control,ST2C3,116.66,0,0,0,0,0,0,30.87,0,40.048,0,44.82,0,44.82,44.82,0.3841933824789988,0,0
ST2C4F,female,before,control,ST2C4,116.66,NA,NA,NA,0,0,4.913,103.701,0,5.321,0,1.998,0,1.998,1.998,0.01712669295388308,0,NA
ST2C4M,male,before,control,ST2C4,116.66,11.737,6,49.741,0,0,0,100.895,0,10.492,0,4.751,0,4.751,4.751,0.040725184296245505,0,61.478
ST2C5F,female,before,control,ST2C5,116.66,NA,NA,NA,4.25,42.923,0,0,0,0,14.497,101.449,0,115.946,111.696,0.9574489970855478,0.36793245328304475,NA
ST2C5M,male,before,control,ST2C5,116.66,25.244,4,43.172,0,0,0,19.746,0,11.997,14.499,69.903,0,84.402,84.402,0.7234870564032231,0,68.416
ST2C6F,female,before,control,ST2C6,115.66,NA,NA,NA,0,0,32.226,25.17,13.752,10.164,17.641,16.151,0,33.792,33.792,0.2921666954867716,0,NA
ST2C6M,male,before,control,ST2C6,115.66,2.247,1,9,0,0,0,21.001,0,46.614999999999995,0,47.473,0,47.473,47.473,0.4104530520491095,0,11.247
ST2C7F,female,before,control,ST2C7,115.66,NA,NA,NA,6.253,2.498,23.111,10.25,23.315,9.795,32.552,15.828,0,48.379999999999995,42.126999999999995,0.3642313678021788,0.021597786615943283,NA
ST2C7M,male,before,control,ST2C7,115.66,0,0,2.998,0,1.75,31.573,18.212,8.248,22.731,12.903,21.235999999999997,0,34.138999999999996,34.138999999999996,0.295166868407401,0.015130555075220474,2.998
ST2C8F,female,before,control,ST2C8,115.66,NA,NA,NA,44.96,0,27.518,0,17.237000000000002,0,69.965,0,0,69.965,25.005000000000003,0.2161940169462217,0,NA
ST2C8M,male,before,control,ST2C8,115.66,0,0,3.751,0,0,68.675,0.997,7.246,31.364,3,3.246,0,6.246,6.246,0.05400311257132977,0,3.751
ST2C9F,female,before,control,ST2C9,115.66,NA,NA,NA,3.502,0,2.997,42.724,4.496,29.152,10.22,22.005000000000003,0,32.225,28.723000000000003,0.24833996195746155,0,NA
ST2C9M,male,before,control,ST2C9,115.66,4.243,6,4.75,3.419,0,18.573,17.248,20.486,9.739,34.812,13.247,0,48.059,44.64,0.38595884489019544,0,8.993
ST2AC10F,female,after,alarm,ST2AC10,123.99,NA,NA,NA,1.059,50.902,0,0,28.653,0,44.67,50.05,0,94.72,93.661,0.7553915638357932,0.41053310750867006,NA
ST2AC10M,male,after,alarm,ST2AC10,123.99,0,0,6.9990000000000006,7.971,1.999,0,0,0,0,41.462,81.775,0,123.23700000000001,115.266,0.9296394870554078,0.01612226792483265,6.9990000000000006
ST2AC11F,female,after,alarm,ST2AC11,125.06,NA,NA,NA,16.810000000000002,0,0,0,0,0,97.184,26.901,0,124.085,107.27499999999999,0.8577882616344153,0,NA
ST2AC11M,male,after,alarm,ST2AC11,125.06,11.746,3,56.679,0,0,0,0,0,0,84.196,40.151,0,124.34700000000001,124.34700000000001,0.994298736606429,0,68.425
ST2AC14F,female,after,alarm,ST2AC14,125.44,NA,NA,NA,72.61500000000001,37.75,0,0,0,0,122.79,0,0,122.79,50.175,0.39999202806122447,0.3009406887755102,NA
ST2AC14M,male,after,alarm,ST2AC14,125.44,20.996,5,0,3.252,8.503,0,0,3.495,0,107.897,13.244,0,121.141,117.88900000000001,0.9398038903061225,0.06778539540816327,20.996
ST2AC15F,female,after,alarm,ST2AC15,125.11,NA,NA,NA,2.503,55.61,0,0,0,0,18.509,105.832,0,124.341,121.838,0.9738470146271281,0.4444888498121653,NA
ST2AC15M,male,after,alarm,ST2AC15,125.11,0,0,10.25,1.749,79.815,0,0,0,0,21.848,101.601,0,123.449,121.7,0.9727439852929423,0.6379585964351371,10.25
ST2AC16F,female,after,alarm,ST2AC16,125.06,NA,NA,NA,0,16.964,0,0,0,0,82.52,41.834999999999994,0,124.35499999999999,124.35499999999999,0.9943627059011674,0.13564688949304332,NA
ST2AC16M,male,after,alarm,ST2AC16,125.06,9.249,2,56.622,0,33.751,0,0,0,0,80.327,44.024,0,124.351,124.351,0.9943307212537982,0.2698784583399968,65.871
ST2AC1F,female,after,alarm,ST2AC1,125.06,NA,NA,NA,4.755999999999999,20.738999999999997,0,0,0.553,0.499,55.108,68.156,0,123.26400000000001,118.50800000000001,0.9476091476091477,0.16583240044778505,NA
ST2AC1M,male,after,alarm,ST2AC1,125.06,0,0,2.248,0,1.997,0,0,0.261,0,61.753,57.246,0,118.999,118.999,0.9515352630737246,0.01596833519910443,2.248
ST2AC2F,female,after,alarm,ST2AC2,125.06,NA,NA,NA,19.501,5.753,0,0,6.243,10.902,62.542,44.736999999999995,0,107.279,87.77799999999999,0.7018870941947865,0.04600191907884216,NA
ST2AC2M,male,after,alarm,ST2AC2,125.06,0.747,1,17.616,0.5,0,4.249,0.748,3.498,11.245,65.736,38.636,0,104.37200000000001,103.87200000000001,0.8305773228850153,0,18.363
ST2AC3F,female,after,alarm,ST2AC3,125.06,NA,NA,NA,35.403000000000006,0,2.647,0.25,7.745000000000001,12.242,49.488,51.466,0,100.95400000000001,65.551,0.5241564049256358,0,NA
ST2AC3M,male,after,alarm,ST2AC3,125.06,41.754000000000005,12,17.242,7.114,0,7.396,3.495,23.981,25.454,35.489000000000004,28.362,0,63.851,56.737,0.45367823444746525,0,58.99600000000001
ST2AC4F,female,after,alarm,ST2AC4,125.06,NA,NA,NA,14.509,0.75,10.242,8,6.992,22.521,45.159,21.247,0,66.406,51.897000000000006,0.4149768111306573,0.0059971213817367666,NA
ST2AC4M,male,after,alarm,ST2AC4,125.06,3.996,3,7.507,20.172,5.247,10.254,3.999,11.495,44.92100000000001,22.748,30.918,2,53.666,33.494,0.26782344474652164,0.041955861186630417,11.503
ST2AC5F,female,after,alarm,ST2AC5,125.06,NA,NA,NA,0,124.232,0,0,0,0,124.232,0,0,124.232,124.232,0.9933791779945625,0.9933791779945625,NA
ST2AC5M,male,after,alarm,ST2AC5,125.06,0,0,0,0,123.6,0,0,0,0,0,124.354,0,124.354,124.354,0.994354709739325,0.988325603710219,0
ST2AC6F,female,after,alarm,ST2AC6,120.06,NA,NA,NA,26.757,0,11.653,0.749,20.072,15.604,49.148,21.996,0,71.144,44.387,0.3697068132600366,0,NA
ST2AC6M,male,after,alarm,ST2AC6,120.06,51.515,12,0,1.747,0,13.757,7.396,12.33,11.901,59.009,14.247,0,73.256,71.509,0.5956105280692987,0,51.515
ST2AC7F,female,after,alarm,ST2AC7,123.99,NA,NA,NA,19.249,0,8.248,29.109,5.497,20.744,7.993,51.267,0,59.260000000000005,40.01100000000001,0.32269537865956943,0,NA
ST2AC7M,male,after,alarm,ST2AC7,123.99,0,0,5.253,4.5,0,11.749,32.391999999999996,4.5009999999999994,2.497,35.711,35.268,0,70.979,66.479,0.5361642067908703,0,5.253
ST2AC8F,female,after,alarm,ST2AC8,123.99,NA,NA,NA,15.751,25.25,0,0,0,0,105.171,17.125999999999998,0,122.297,106.54599999999999,0.8593112347769981,0.20364545527865152,NA
ST2AC8M,male,after,alarm,ST2AC8,123.99,21.178,3,21.502,0,36.25,0,0,13.497,0,100.287,9.554,0,109.84100000000001,109.84100000000001,0.885885958545044,0.29236228728123237,42.68
ST2AC9F,female,after,alarm,ST2AC9,123.99,NA,NA,NA,37.595,0,0,0,2.495,1.961,86.023,32.642,0,118.66499999999999,81.07,0.6538430518590208,0,NA
ST2AC9M,male,after,alarm,ST2AC9,123.99,10.244,6,21.22,0.786,0,0,0,1.5,0.587,83.453,37.891,0,121.344,120.55799999999999,0.9723203484151948,0,31.464
ST2C10F,female,after,control,ST2C10,123.99,NA,NA,NA,5.499,0,69.832,6.989,21.497,0.495,22.991999999999997,1.502,0,24.493999999999996,18.994999999999997,0.15319783853536575,0,NA
ST2C10M,male,after,control,ST2C10,123.99,7.251,3,14.75,11.253,0,36.65,1.498,29.985999999999997,10.996,18.488,24.467,0,42.955,31.701999999999998,0.255681909831438,0,22.001
ST2C11F,female,after,control,ST2C11,124.48,NA,NA,NA,6.753,0,15.767,41.962,8.486,23.626,18.505,15.248,0,33.753,27,0.21690231362467866,0,NA
ST2C11M,male,after,control,ST2C11,124.48,15.339,4,86.644,0,0,18.775,49.029999999999994,5.245,19.223,19.994,11.248,0,31.241999999999997,31.241999999999997,0.2509800771208226,0,101.983
ST2C12F,female,after,control,ST2C12,121.37,NA,NA,NA,15.514,0,22.747,11.988,6,12.151,23.365,39.964,0,63.32899999999999,47.815,0.39396061629727275,0,NA
ST2C12M,male,after,control,ST2C12,121.37,0,0,10.22,22.51,1.002,10.998,16.246,12.991,19.745,8.357,51.807,0,60.164,37.653999999999996,0.31024141056274196,0.008255746889676197,10.22
ST2C13F,female,after,control,ST2C13,125.06,NA,NA,NA,0,9.502,28.747,16.052,24.799,36.54900000000001,12.334,5.747,0,18.081,18.081,0.14457860227090996,0.07597952982568368,NA
ST2C13M,male,after,control,ST2C13,125.06,0.751,1,9.491,0,0,0,3.24,13.226,71.389,5.24,30.975,1,36.215,36.215,0.28958100111946267,0,10.241999999999999
ST2C14F,female,after,control,ST2C14,114.1,NA,NA,NA,0,8.999,1.998,37.607,7.245,28.398,0,38.108,1,38.108,38.108,0.3339877300613497,0.07886941279579317,NA
ST2C14M,male,after,control,ST2C14,114.1,13.494,6,43.495999999999995,0,0.75,1.75,36.866,7.501,28.379,0,38.854,0,38.854,38.854,0.3405258545135846,0.006573181419807187,56.989999999999995
ST2C15F,female,after,control,ST2C15,126.03,NA,NA,NA,1.002,0.75,9.243,3.999,23.737,9.222,51.636,27.263,0,78.899,77.897,0.6180829961120369,0.005950964056177101,NA
ST2C15M,male,after,control,ST2C15,126.03,0,0,23.865,0,2.252,34.462,1.999,15.902,14.998,28.1,29.144,1,57.244,57.244,0.4542093152424026,0.017868761406014438,23.865
ST2C1F,female,after,control,ST2C1,125.06,NA,NA,NA,1.997,0,48.173,18.702,14.47,8.004,24.497,10.488,0,34.985,32.988,0.2637773868543099,0,NA
ST2C1M,male,after,control,ST2C1,125.06,0,0,17.994,0,0,59.477,13.746,22.472,6.002,15.739,6.741,1,22.48,22.48,0.17975371821525668,0,17.994
ST2C2F,female,after,control,ST2C2,125.06,NA,NA,NA,87.535,0,0,2.999,6.242,0.497,41.748,72.842,0,114.59,27.055000000000007,0.216336158643851,0,NA
ST2C2M,male,after,control,ST2C2,125.06,1.002,1,13.751,8.002,0,12.738,0.999,13.568,17.237000000000002,31.488,48.053,0,79.541,71.539,0.572037422037422,0,14.753
ST2C3F,female,after,control,ST2C3,125.06,NA,NA,NA,2.497,0,0,8.254999999999999,0,38.92,0,77.011,1,77.011,74.514,0.5958260035183112,0,NA
ST2C3M,male,after,control,ST2C3,125.06,0,0,0,1.753,0,0,17.494,0,58.058,0,48.767,0,48.767,47.014,0.3759315528546298,0,0
ST2C4F,female,after,control,ST2C4,125.06,NA,NA,NA,0,0,35.15,43.953,14.741,15.243,7.516,7.497,0,15.013,15.013,0.12004637773868543,0,NA
ST2C4M,male,after,control,ST2C4,125.06,0,0,11.236,0.667,0,9.396,36.67,8.492,34.399,2.001,33.349000000000004,0,35.35,34.683,0.277330881177035,0,11.236
ST2C5F,female,after,control,ST2C5,125.06,NA,NA,NA,0,0,7.75,18.652,0,13.003,0,84.993,0,84.993,84.993,0.6796177834639373,0,NA
ST2C5M,male,after,control,ST2C5,125.06,12.493,5,83.294,0,0,11.151,14.747,0,7.497,0.001,90.944,1,90.94500000000001,90.94500000000001,0.7272109387494003,0,95.78699999999999
ST2C6F,female,after,control,ST2C6,123.99,NA,NA,NA,0.748,0,3.746,0,24.959,10.146,37.482,46.764,0,84.24600000000001,83.498,0.6734252762319543,0,NA
ST2C6M,male,after,control,ST2C6,123.99,5.496,4,68.391,0,0,2.996,0,18.551,16.487,27.995,56.258,0,84.253,84.253,0.6795144769739495,0,73.887
ST2C7F,female,after,control,ST2C7,123.99,NA,NA,NA,15.496,5.253,25.838,15.924,31.341,3,45.233,1.246,0,46.479,30.982999999999997,0.24988305508508749,0.0423663198645052,NA
ST2C7M,male,after,control,ST2C7,123.99,0,0,33.282,0,4.501,35.15,17.931,39.501,13.745,14.739,2.25,1,16.989,16.989,0.1370191144447133,0.03630131462214695,33.282
ST2C8F,female,after,control,ST2C8,123.99,NA,NA,NA,17.747,0,4.744,0,26.936,0,91.296,0,0,91.296,73.549,0.5931849342688927,0,NA
ST2C8M,male,after,control,ST2C8,123.99,2,1,25.832,0,0,26.651999999999997,24.746,30.841,0,41.083,0,0,41.083,41.083,0.3313412371965481,0,27.832
ST2C9F,female,after,control,ST2C9,123.99,NA,NA,NA,12.747,0,29.218,1.496,30.651000000000003,7.999,49.65,2.75,0,52.4,39.653,0.3198080490362126,0,NA
ST2C9M,male,after,control,ST2C9,123.99,16.756,9,5.745,0,0,43.896,5.251,34.285,1.746,33.855,3.495,0,37.349999999999994,37.349999999999994,0.3012339704814904,0,22.501
