obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C03V2010,7.930,male,0,0,0,0,0,0,0,0,0,7.520,0,0
C04V1000,65.390,male,3.249,2,53.860,0,0,33.963,4.000,12.899,0.748,13.497,0,0
C04V1001,55.980,male,0.751,1,27.205,0,0,20.394,33.436,1.752,0,0,0,0
C04V1002,65.310,male,4.972,4,34.746,0,0,26.248,19.898,0.746,6.987,0,10.974,0
C04V1003,55.980,male,0,0,5.251,10.556,0,5.251,0,5.747,0,43.861,0.654,0
C04V1004,65.310,male,0,0,16.221,5.998,0,11.754,9.496,7.407,3.496,20.003,12.748,0
C04V1005,55.980,male,5.257,3,22.623,0.751,0,9.361,9.747,3.995,5.751,10.998,15.650,0
C04V1006,65.310,male,5.241,4,24.863,0,0,41.806,10.001,11.494,0,1.750,0,0
C04V1007,55.980,male,1.503,1,22.240,7.466,0,8.147,7.001,3.249,1.250,35.964,0,0
C04V1008,55.980,male,0,0,34.354,0,0,0,31.613,0,2.997,10.900,9.997,0
C04V1009,65.310,male,1.002,1,42.062,0,0,0,5.396,0,36.992,0,22.624,0
C04V1010,13.290,male,1.999,1,2.249,0,0,0,0,0,0.977,2.748,9.151,0
C04V2000,65.390,male,0,0,9.003,5.000,1.002,10.998,9.498,9.495,10.496,4.999,19.161,0
C04V2001,55.980,male,0,0,1.217,17.510,0,0,6.748,3.496,9.249,3.358,32.646,0
C04V2002,65.310,male,0,0,17.256,14.998,0,10.000,0,8.743,0,45.365,0,0
C04V2003,55.980,male,2.250,1,10.058,0,0.254,16.970,2.498,7.606,1.998,24.250,2.745,3
C04V2004,65.310,male,0,0,0,0,0,35.363,0,18.391,0,10.997,0,0
C04V2005,55.980,male,0,0,7.745,0,0,26.506,4.250,12.244,0.998,11.495,0,0
C04V2006,65.310,male,0,0,19.171,1.257,0,30.497,13.660,3.898,1.998,7.752,7.244,0
C04V2007,27.880,male,0,0,0,0,0.501,0,3.400,8.863,0,12.001,3.250,0
C04V3000,66.730,male,1.504,1,7.497,0,0,6.496,6.751,4.754,11.235,10.069,17.962,0
C04V3001,58.330,male,0,0,0,0,0,14.204,0,16.743,0,25.249,1.653,0
C04V3002,29.200,male,0,0,0,0.751,0,4.745,7.248,2.252,7.207,3.249,3.998,0
C05V1000,66.160,male,0,0,8.600,0,4.501,17.907,6.001,15.354,13.745,10.495,2.250,1
C05V1001,57.830,male,0,0,24.682,0,0,17.243,11.930,24.147,0,4.244,0,0
C05V1002,57.830,male,0,0,16.258,0,0,2.927,11.152,5.501,21.240,0,16.752,0
C05V1003,66.090,male,0,0,37.753,0,0,1.655,10.493,0,29.913,0,23.734,0
C05V1004,57.830,male,0,0,30.753,0,0,5.248,2.249,0.750,16.997,1.249,30.866,0
C05V1005,57.830,male,2.247,2,19.245,0,0,0,1.752,0,35.895,0,19.903,0
C05V1006,57.830,male,0,0,9.749,0,0,0,10.073,0,25.480,0,22.003,0
C05V1007,66.090,male,1.001,2,15.251,0,0,0,3.998,1.616,31.069,0.503,28.240,0
C05V1008,57.830,male,0,0,9.176,0,0,0,6.736,0,17.155,0,33.669,0
C05V1009,57.830,male,0,0,6.000,2.249,0,4.002,0,7.737,16.995,11.004,17.213,0
C05V1010,3.770,male,0,0,0.750,0,0,0,0,0,3.268,0,0,0
C05V2000,66.160,male,0,0,0,0,0,7.245,54.961,0,3.652,0,0,1
C05V2001,57.830,male,0,0,0,0,0,32.498,25.066,0,0,0,0,0
C05V2002,57.830,male,0,0,8.717,0,0,36.651,12.749,3.556,0,4.587,0,0
C05V2003,66.090,male,1.742,2,28.926,0,3.000,1.247,11.000,2.750,20.547,12.901,17.373,0
C05V2004,57.830,male,0,0,39.218,0,0,0,13.749,0,23.651,0,20.151,0
C05V2005,57.830,male,1.504,1,19.254,0,0,0,3.746,3.216,25.992,0.752,23.243,0
C05V2006,57.830,male,0,0,15.749,0,0,0,5.007,12.370,14.485,12.995,12.494,0
C05V2007,66.090,male,1.498,1,16.497,0,0,8.250,11.244,16.246,1.504,24.212,3.994,0
C05V2008,57.830,male,0,0,2.998,0,1.750,27.169,1.999,8.248,4.747,12.903,2.496,0
C05V2009,57.830,male,0,0,0,0,0,4.404,16.213,0,17.984,0,18.740,0
C05V2010,10.240,male,0,0,0,0,0,0,3.252,0,5.145,1.477,0,0
C06V1000,66.730,male,0,0,2.248,0,1.997,0,0,0,0,30.905,35.341,0
C06V1001,58.330,male,0,0,0,0,0,0,0,0.261,0,30.848,21.905,0
C06V1002,58.330,male,0,0,1.501,0,0,0,0.749,3.901,14.741,27.245,11.217,0
C06V1003,58.330,male,1.465,1,4.246,0,0,3.248,6.248,4.997,17.104,9.000,17.470,2
C06V1004,58.330,male,0,0,51.477,0,3.746,0,0,8.498,0,46.712,2.654,0
C06V1005,66.670,male,0.749,1,37.257,0,0,0,0,3.746,0,62.513,0,0
C06V1006,58.330,male,0,0,8.009,0,0,0,0,0,0,44.092,13.992,2
C06V1007,58.330,male,0,0,17.000,0,0,2.250,0,10.494,3.743,33.820,7.748,0
C06V1008,58.330,male,0,0,9.372,0,1.751,0,0,0,0,35.314,22.745,0
C06V1009,58.330,male,0,0,3.000,0,0,0,0,0,0,27.860,28.759,0
C06V1010,19.300,male,0,0,3.503,0,0,0,0,0,0.250,0,18.628,0
C06V2000,66.730,male,0,0,37.617,0,0,10.988,23.500,7.003,9.960,2.998,11.002,0
C06V2001,58.330,male,1.744,2,45.717,0,0,2.743,0,16.058,8.249,22.079,8.247,0
C06V2002,58.330,male,3.247,3,47.386,0,0,0.999,0.497,20.486,4.750,28.314,1.752,0
C06V2003,58.330,male,0,0,51.424,0,0,34.960,0,16.502,0,6.399,0,0
C06V2004,58.330,male,0,0,32.746,0,0,26.923,4.495,14.624,0,11.994,0,0
