ID,cue,sex,tank,dist_cm,veloc_cms,moving_s,frozen_s,avgdistshelt_cm,maxdistshelt_cm,time_shelter_s,lat_shelter_s,per_shelt,time_outer_s,lat_outer_s,per_outer,PC1,PC2,PC3,weight_g,sl_cm,tl_cm
AC6M2,ac,m,AC6,1277.53,6.05087,175.632,35.4996,12.2556,19.7967,88.8991,24.2998,29.6267,186.931,0,62.2973,2.2773404102627772,0.6407733573807555,-0.3787677664747522,0.09,1.52,NA
AC6M3,ac,m,AC6,413.606,1.40461,77.1659,217.298,13.9263,18.8668,5.56661,287.63,1.85514,224.131,42.2996,74.6945,-2.0902733208164044,1.2297083890153946,0.45333998429543326,0.08,1.51,NA
AC7F1,ac,f,AC7,549.992,2.34975,122.365,111.699,10.5213,18.5957,65.966,35.4996,21.984,0,NA,0,-0.4738967429436383,-1.6414257303986934,-1.6732150874516565,0.13,1.93,2.59
AC7F2,ac,f,AC7,329.613,1.54968,70.866,141.832,10.9238,18.6492,87.3325,141.165,29.1046,178.865,8.59991,59.609,-0.8304978247303729,-0.5471967954404315,0.8647866029294701,0.16,1.9,2.69
AC7F3,ac,f,AC7,625.827,2.99729,140.065,68.7326,10.3624,19.0155,91.2324,15.0998,30.4044,188.098,2.29998,62.6861,0.654322338619569,-0.24086956268155885,0.5979682901300994,0.18,2.1,2.7
AC7F4,ac,f,AC7,454.817,1.82415,93.7657,155.565,10.5784,19.2239,50.6995,65.566,16.8962,191.798,33.5997,63.9191,-0.9979718756330341,0.2659854255345981,0.47611684903715495,0.17,2.03,2.76
AC7F5,ac,f,AC7,599.533,2.16864,134.677,141.778,9.80664,18.8132,23.5686,81.9399,7.85468,200.316,8.56735,66.7592,-0.7366563567968086,0.8841661919956644,0.10838700168605364,0.19,1.93,2.12
AC7F6,ac,f,AC7,199.133,0.663719,25.4384,274.588,9.58356,18.8787,0,NA,0,200.473,7.30146,66.8111,-3.2632467479431733,0.898445329310463,0.4270335787052099,0.1,1.62,2.15
AC7M1,ac,m,AC7,533.2,2.62103,128.832,74.5993,9.83546,19.3979,96.599,13.3999,32.1928,146.332,0,48.7669,0.38166911721133284,-0.8137768253487851,0.3097663378709593,0.09,1.64,2.55
AC7M2,ac,m,AC7,645.044,2.28904,160.765,121.032,9.50343,18.9917,18.2332,27.1997,6.07643,212.531,5.06662,70.8287,-0.41994826239953104,1.0897447898212627,0.13649240817811703,0.08,1.59,2.1
AC7M3,ac,m,AC7,1299.3,6.32784,185.498,19.8331,10.4616,19.5443,94.6991,10.6666,31.5597,163.065,0.133332,54.3435,2.511909292466809,0.34485824307280105,-0.6202910258290556,0.12,1.77,2.12
C2F1,c,f,C2,302.964,2.06756,53.9328,92.5991,8.1005,19.2008,153.498,14.4332,51.1553,97.6657,12.7332,32.5483,0.057342611807949945,-2.309060070790902,0.6291062235145413,0.14,1.81,NA
C2F2,c,f,C2,419.403,2.01962,88.4658,119.199,8.85203,19.6993,92.3657,44.3996,30.782,0,NA,0,-0.6249290860119957,-2.1646956123436993,-1.2345746875217163,0.18,2.08,2.15
C2M1,c,m,C2,877.26,4.0254,152.265,65.766,14.3597,19.9128,81.9992,43.5996,27.3273,209.931,0,69.9622,1.1367978932022893,0.4338175231736637,0.39088318751451573,0.08,1.64,2.11
C2M2,c,m,C2,726.881,2.80183,157.465,101.966,10.9921,20.0596,40.5996,72.8659,13.5303,218.831,0,72.9282,0.1340163714982588,0.9266889591708023,0.3066388963960123,0.08,1.6,2.15
C3F1,c,f,C3,538.113,2.36813,113.966,113.232,10.2411,19.7183,72.7993,7.83325,24.2613,219.164,0.33333,73.0393,-0.13134469480359384,0.2537732632975821,0.8878050008772113,0.15,1.9,2.25
C3F2,c,f,C3,725.846,2.81084,145.765,112.466,11.3835,19.2856,41.7996,80.3325,13.9302,234.398,0,78.116,0.03820843195349047,1.0725062472289788,0.4920795732122324,0.14,1.77,NA
C3F3,c,f,C3,452.551,1.58163,98.999,187.131,8.87454,18.6287,13.8999,226.698,4.6323,143.365,51.4328,47.7783,-1.7176519185897505,0.37580777316701397,-0.428066707441859,0.13,1.85,2.32
C3M1,c,m,C3,528.054,1.85501,96.0657,188.598,9.55167,20.1261,15.3665,139.499,5.12108,209.231,41.5663,69.7289,-1.480270727704474,1.0678893860166596,0.2201072361899047,0.05,1.33,1.96
C3M2,c,m,C3,675.185,3.45866,128.844,66.372,8.44208,19.4852,104.808,5.73379,34.9295,154.446,26.3354,51.4721,0.8219926220655829,-0.6636859376668262,0.27461647520217125,0.06,1.6,NA
C3M3,c,m,C3,881.407,3.77318,170.965,62.6327,10.6394,19.4787,66.4327,36.233,22.1395,223.798,0,74.5834,1.0927046728172356,0.7677467358212918,0.39518021689805094,0.04,1.32,1.8
C3M4,c,m,C3,822.736,3.46808,157.332,79.8992,10.5096,19.0924,62.7994,33.8997,20.9287,214.965,10.3999,71.6396,0.7340331017673531,0.6869751534629239,0.34072342704546277,0.05,1.42,1.76
C4F1,c,f,C4,469.348,1.61679,92.2324,198.065,9.79989,19.1048,9.73324,210.531,3.24372,87.1325,177.065,29.038,-1.932636258105454,-0.03574593570132234,-1.1319832401966399,0.11,1.72,2.17
C4F2,c,f,C4,935.099,3.77821,172.265,75.2326,9.98278,19.0288,52.5328,96.7657,17.5072,0,NA,0,0.6026180003441698,-0.9872663634747292,-2.351171048202691,0.11,1.66,2.19
C4F3,c,f,C4,911.073,3.81472,174.465,64.366,11.2189,19.7811,61.1994,52.1328,20.3955,206.665,2.26664,68.8736,1.064968281576509,0.7270043714004626,0.10778721338220743,0.08,1.82,2.33
C4F4,c,f,C4,880.213,3.5864,134.432,110.999,9.46918,19.7581,54.5995,51.5995,18.196,183.132,20.0665,61.0309,0.36283341878504677,0.6506812255632606,-0.19169969419241067,0.1,1.69,NA
C4F5,c,f,C4,949.889,4.18581,157.498,69.4326,8.60727,19.5933,73.0993,42.6329,24.3613,146.432,30.233,48.8003,1.070742288315185,0.08396481029422795,-0.5192666496046479,0.03,1.28,1.67
C4M1,c,m,C4,1028.94,4.53282,179.432,47.5662,12.7739,19.6043,73.0326,24.2998,24.339,196.231,19.1665,65.3966,1.5597940063699172,0.6077400615325561,-0.06467502635398797,0.1,1.59,2.11
C4M2,c,m,C4,879.922,3.99424,156.932,63.366,11.6207,19.4361,79.7325,99.4323,26.5719,189.598,4.76662,63.186,1.1234948675526975,0.27744145111289475,0.13628923614002486,0.1,1.6,2.18
C4M3,c,m,C4,1010.56,4.8322,156.632,52.4995,9.29192,19.8056,90.8991,56.0994,30.2933,153.698,9.9999,51.222,1.5276970257151994,-0.0351520983534645,-0.35126754320400433,0.06,1.6,2.12
C5F1,c,f,C5,603.628,2.73633,123.832,96.7657,10.7292,18.6945,79.4325,35.233,26.4719,186.531,23.0664,62.164,0.18874204817401538,-0.0725802269672765,0.4913239636971108,0.15,1.97,2.5
C5F2,c,f,C5,620.265,2.90737,122.758,90.5848,9.25621,18.4976,86.684,54.811,28.8889,141.928,53.2773,47.3,0.27818802794707176,-0.5652594237709079,0.03325470289157831,0.11,1.82,2.41
C5F3,c,f,C5,838.371,3.79186,143.365,77.7326,9.96405,19.142,78.9325,83.5658,26.3053,183.365,19.2665,61.1086,0.856446574338502,0.20109991905646538,0.11406355719323577,0.16,1.89,2.3
C5F4,c,f,C5,344.684,1.42029,68.0388,174.647,10.9655,19.0673,57.3379,40.0032,19.109,197.382,0,65.7816,-1.381366561781917,0.11003855254683093,0.7567533624729016,0.09,1.87,NA
C5F5,c,f,C5,5.74492,7.49345,0.766659,0,3.37755,5.10938,299.264,0.799992,99.7334,0,NA,0,1.4922371444656404,-5.756938991962236,1.3720178382554762,0.14,1.9,2.44
C5M1,c,m,C5,1423.07,5.28241,236.098,33.2997,13.9754,19.4798,30.633,24.3664,10.2088,0,NA,0,1.8805815455744537,-0.08461012992306172,-3.2579116470145095,0.09,1.67,2.14
C5M2,c,m,C5,582.186,2.47847,137.132,97.7657,9.27849,19.4141,65.1327,42.5996,21.7063,188.765,7.0666,62.9082,0.037452140852654435,0.11017657635831507,0.4120325577918683,0.12,1.59,2.31
C5M3,c,m,C5,885.643,3.80544,181.232,51.4995,10.8612,18.9779,67.2993,15.1998,22.4283,177.898,0,59.2868,1.1705782638697015,0.32078193541405153,-0.11828835276167943,0.05,1.56,2.09
C6F1,c,f,C6,80.1784,1.59296,15.5998,34.733,10.4197,17.5222,249.698,35.8996,83.2148,39.9329,0,13.3082,0.92483228877621515,-4.554545169265407,1.2332866271487612,0.1,1.72,NA
C6F2,c,f,C6,600.654,2.09071,129.165,158.132,14.4785,19.829,12.7332,34.2997,4.2435,273.031,3.93329,90.9909,-0.8970554146979337,1.7271273787725812,0.8211026048327947,0.22,2.08,2.72
C6F3,c,f,C6,354.054,1.28983,67.5993,206.898,7.96465,19.143,25.5331,108.266,8.50922,160.298,60.9994,53.4215,-2.034190242500205,0.2747243516647641,0.011072104635166058,0.18,2.21,2.83
C6F4,c,f,C6,405.045,1.95707,86.4325,120.532,9.78183,19.0714,93.0657,44.2662,31.0153,0,NA,0,-0.663327346021182,-2.1917972094502316,-1.2074011265492077,0.11,1.72,NA
C6M1,c,m,C6,935.563,3.73134,174.965,75.7659,12.4882,19.233,49.2995,17.0332,16.4297,219.098,0,73.0171,0.9089271605358233,1.057271413778622,0.09596087747421156,0.11,1.65,2.29
C6M2,c,m,C6,762.054,4.26607,147.965,41.7329,9.30048,19.6805,13.7665,49.2328,4.58787,165.165,12.6999,55.0433,0.6517490055838577,0.723381428506204,-0.5858827737264141,0.06,1.39,1.82
C6M3,c,m,C6,1096.09,4.40144,194.131,54.8995,8.6205,19.3104,50.9995,11.1332,16.9962,189.598,7.49992,63.186,1.4326312504831542,0.9518123617092752,-0.44924583426756104,0.05,1.39,1.86
C6M4,c,m,C6,425.835,1.53548,99.099,178.232,10.8709,19.4037,22.6998,68.5326,7.56499,236.898,4.03329,78.9491,-1.4560266404445743,1.0559273443419033,0.7555644517745768,0.08,1.59,2.36
C7F1,c,f,C7,716.611,3.1812,139.599,85.6658,9.84489,19.328,74.7659,20.5998,24.9167,208.698,0.633327,69.5512,0.5381060103141556,0.33052242951524324,0.5364561352650778,0.16,1.91,2.54
C7F2,c,f,C7,588.738,3.21542,115.532,67.566,9.80466,19.0857,116.932,27.9997,38.9691,147.832,10.4666,49.2668,0.7191067777042903,-1.0066243920675197,0.44070037276861806,0.26,2.29,2.83
C7F3,c,f,C7,841.255,2.9456,158.432,127.165,9.43298,19.625,14.4332,96.2324,4.81004,220.964,52.9328,73.6392,-0.13385652455780395,1.5093450418781522,-0.09303493234988813,0.14,1.81,2.5
C7M1,c,m,C7,1260.51,4.80992,215.331,46.7329,13.7339,19.5551,37.9663,7.0666,12.6527,240.731,7.03326,80.2266,1.829476638578829,1.8101700560211462,-0.2319283708672094,0.07,1.51,2.28
C7M2,c,m,C7,949.614,4.08499,162.632,69.8326,12.9146,19.477,67.566,24.3664,22.5172,204.865,6.03327,68.2737,1.1153171673267632,0.6915458036516242,0.08959057483147431,0.07,1.69,2.35
C7M3,c,m,C7,852.155,3.38026,153.332,98.7657,10.531,19.4453,47.9329,23.5664,15.9742,223.531,1.46665,74.4946,0.4706311700434442,1.0436730058017913,0.247289725410347,0.06,1.53,2.2
C7M4,c,m,C7,378.084,1.97338,85.1445,106.447,7.37392,19.1692,108.083,1.80306,36.0227,138.235,0.63441,46.0717,-0.22726151109936288,-1.1975311483172075,0.5430011562957092,0.02,1.23,1.85
C7M5,c,m,C7,921.034,3.66366,174.265,77.1326,11.4539,19.6536,48.6328,19.7665,16.2075,232.998,0,77.6494,0.8813103587438398,1.1750994233303622,0.267665898206337,0.07,1.62,2.37
