fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bottom_s,subuse_s,subuse_prop,frozen_prop,matbehav_s
ST2AC10F,female,before,alarm,ST2AC10,297.40999999999997,NA,NA,NA,23.498,0,39.49,33.246,32.658,7.161,105.518,77.815,0,183.333,159.835,0.5374230859755893,0,NA
ST2AC10M,male,before,alarm,ST2AC10,297.40999999999997,9.504,5,33.755,0,0,16.151,9.294,26.246,5.493,179.91500000000002,58.316,0,238.23100000000002,238.23100000000002,0.801018795602031,0,43.259
ST2AC11F,female,before,alarm,ST2AC11,299.99,NA,NA,NA,159.52100000000002,0,29.238999999999997,0,11.002,0,216.832,41.222,0,258.054,98.53299999999996,0.3284542818093935,0,NA
ST2AC11M,male,before,alarm,ST2AC11,299.99,55.738,21,52.54,0,0,96.106,5.747999999999999,40.092,9.499,105.488,41.571,0,147.059,147.059,0.49021300710023663,0,108.27799999999999
ST2AC14F,female,before,alarm,ST2AC14,300.90999999999997,NA,NA,NA,46.359,0,96.385,25.141,25.107,4.746,19.742,69.51,0,89.25200000000001,42.89300000000001,0.14254428234355793,0,NA
ST2AC14M,male,before,alarm,ST2AC14,300.90999999999997,39.253,11,71.926,0,0,94.886,36.766,48.227,29.91,64.093,23.994,1,88.087,88.087,0.29273536937954875,0,111.179
ST2AC15F,female,before,alarm,ST2AC15,300.09000000000003,NA,NA,NA,10.259,0,89.259,12.488,70.858,13.66,94.527,17.589,0,112.116,101.857,0.33942150688126893,0,NA
ST2AC15M,male,before,alarm,ST2AC15,300.09000000000003,0,0,15.746,7.5,0,154.809,60.857,33.484,8.498,38.741,1.999,0,40.74,33.24,0.11076676996900929,0,15.746
ST2AC16F,female,before,alarm,ST2AC16,299.99,NA,NA,NA,4.75,0,56.212,0,104.9,0,133.686,2.747,0,136.433,131.683,0.4389579652655088,0,NA
ST2AC16M,male,before,alarm,ST2AC16,299.99,7.755,5,68.38,1.745,0,51.238,0,112.24,0,132.435,0,0,132.435,130.69,0.4356478549284976,0,76.13499999999999
ST2AC1F,female,before,alarm,ST2AC1,299.99,NA,NA,NA,3.496,4.239,70.80799999999999,81.676,37.394,22.49,34.068,52.139,0,86.207,82.711,0.2757125237507917,0.014130471015700523,NA
ST2AC1M,male,before,alarm,ST2AC1,299.99,16.244999999999997,6,145.134,0.75,0,54.439,32.242,64.434,38.803,46.241,62.127,0,108.368,107.618,0.3587386246208207,0,161.379
ST2AC2F,female,before,alarm,ST2AC2,299.99,NA,NA,NA,10.005,0,9.149,88.7,3,110.295,8.747,78.593,0,87.34,77.33500000000001,0.2577919263975466,0,NA
ST2AC2M,male,before,alarm,ST2AC2,299.99,1.319,2,125.71,0,0,1.749,122.634,4.996,102.675,3.502,62.556,1,66.05799999999999,66.05799999999999,0.2202006733557785,0,127.029
ST2AC3F,female,before,alarm,ST2AC3,299.99,NA,NA,NA,39.17,0,75.082,5.503,67.05799999999999,3.494,136.263,10.995,0,147.258,108.08800000000001,0.3603053435114504,0,NA
ST2AC3M,male,before,alarm,ST2AC3,299.99,24.499,10,158.037,0,0,68.114,24.262,63.08,12.239,119.752,9.995,2,129.74699999999999,129.74699999999999,0.43250441681389373,0,182.536
ST2AC4F,female,before,alarm,ST2AC4,299.99,NA,NA,NA,130.542,0,44.917,12.502,9.997,4.5,68.195,158.025,0,226.22,95.678,0.3189372979099303,0,NA
ST2AC4M,male,before,alarm,ST2AC4,299.99,17.244,6,5.5,44.643,0,4.998,106.656,0,60.737,2.751,123.184,0,125.935,81.292,0.2709823660788693,0,22.744
ST2AC5F,female,before,alarm,ST2AC5,299.99,NA,NA,NA,22.5,0,2.75,0.75,37.19,33.249,98.877,125.359,1,224.236,201.736,0.6724757491916397,0,NA
ST2AC5M,male,before,alarm,ST2AC5,299.99,4.2490000000000006,5,75.102,3.002,0,5.745,3.401,33.36,43.681999999999995,94.806,116.831,0,211.637,208.635,0.6954731824394146,0,79.351
ST2AC6F,female,before,alarm,ST2AC6,300.65,NA,NA,NA,33.248,0,77.542,45.132,20.976,34.813,68.107,51.744,0,119.851,86.60300000000001,0.28805255280226183,0,NA
ST2AC6M,male,before,alarm,ST2AC6,300.65,40.846,9,90.587,0.749,0,71.795,88.051,11.734,49.915,40.767,36.256,3,77.023,76.274,0.2536969898553135,0,131.433
ST2AC7F,female,before,alarm,ST2AC7,297.40999999999997,NA,NA,NA,6.492,0,59.95,85.999,46.64,6.13,78.775,17.396,0,96.171,89.679,0.30153323694563067,0,NA
ST2AC7M,male,before,alarm,ST2AC7,297.40999999999997,0,0,3.251,0,0,79.988,115.086,14.418,23.488,24.902,36.494,0,61.396,61.396,0.20643556033758115,0,3.251
ST2AC8F,female,before,alarm,ST2AC8,296.48,NA,NA,NA,9.91,0,80.212,37.145,63.663999999999994,2.248,83.187,28,0,111.187,101.277,0.3415980841878035,0,NA
ST2AC8M,male,before,alarm,ST2AC8,296.48,47.147,13,85.44500000000001,9.001,0,88.065,4.749,96.483,4.999,80.776,19.24,5,100.01599999999999,91.01499999999999,0.30698529411764697,0,132.592
ST2AC9F,female,before,alarm,ST2AC9,297.40999999999997,NA,NA,NA,40.524,0,48.230999999999995,74.429,32.556,42.731,48.508,49.017,0,97.525,57.001000000000005,0.19165798056554928,0,NA
ST2AC9M,male,before,alarm,ST2AC9,297.40999999999997,3.743,4,49.269,0,0,53.656,120.968,34.318,21.742,41.862,22.331,0,64.193,64.193,0.21584008607646013,0,53.012
ST2C10F,female,before,control,ST2C10,297.40999999999997,NA,NA,NA,78.179,0,6.65,11.703,16.233,28.642,136.973,95.234,1,232.207,154.028,0.5178978514508591,0,NA
ST2C10M,male,before,control,ST2C10,297.40999999999997,51.021,7,121.295,2.25,0,17.904,5.2490000000000006,22.707,47.141,145.878,56.11,1,201.988,199.738,0.6715914058034365,0,172.316
ST2C11F,female,before,control,ST2C11,219.07,NA,NA,NA,0,0,67.816,25.396,26.129,4.4990000000000006,82.647,10.745,0,93.39200000000001,93.39200000000001,0.42631122472269145,0,NA
ST2C11M,male,before,control,ST2C11,219.07,6.248,2,135.841,0,0,75.015,29.93,17.811,6.9990000000000006,76.77,10.499,0,87.26899999999999,87.26899999999999,0.3983612543935728,0,142.089
ST2C12F,female,before,control,ST2C12,298.56,NA,NA,NA,31.004,0,65.376,71.498,7.997999999999999,43.237,55.05,52.211,0,107.261,76.25699999999999,0.2554159967845659,0,NA
ST2C12M,male,before,control,ST2C12,298.56,13.003,9,146.142,8.217,0,59.314,63.758,18.738,46.989999999999995,59.611999999999995,48.271,0,107.883,99.666,0.33382234726688104,0,159.14499999999998
ST2C13F,female,before,control,ST2C13,299.99,NA,NA,NA,15.749,10.745,77.845,63.378,31.231,27.218,28.491,69.319,1,97.81,82.061,0.2735457848594953,0.035817860595353176,NA
ST2C13M,male,before,control,ST2C13,299.99,6.68,4,23.503,0,0.573,33.665,37.32,34.75,78.951,32.521,81.306,0,113.827,113.827,0.3794359811993733,0.0019100636687889594,30.183
ST2C14F,female,before,control,ST2C14,299.99,NA,NA,NA,2.25,2.247,65.794,24.239,45.129000000000005,34.626,52.869,73.482,0,126.351,124.101,0.4136837894596486,0.007490249674989165,NA
ST2C14M,male,before,control,ST2C14,299.99,15.995,14,131.086,0,10.002,55.912,25.242,53.266,39.889,39.061,82.483,1,121.54400000000001,121.54400000000001,0.40516017200573357,0.03334111137037901,147.08100000000002
ST2C15F,female,before,control,ST2C15,302.3,NA,NA,NA,0,0,116.63,5.151,76.31400000000001,9.995,78.19,13.749,0,91.939,91.939,0.3041316572940787,0,NA
ST2C15M,male,before,control,ST2C15,302.3,32.309,8,34.287,0,0,173.038,23.655,54.419999999999995,7.497,31.588,10.246,0,41.834,41.834,0.1383857095600397,0,66.596
ST2C1F,female,before,control,ST2C1,299.99,NA,NA,NA,44.370000000000005,0,46.484,19.683,15.241,24.385,71.742,120.893,0,192.635,148.265,0.49423314110470346,0,NA
ST2C1M,male,before,control,ST2C1,299.99,0,0,103.143,21.994,0,47.148,22.069,19.725,28.515,43.142,137.595,0,180.737,158.743,0.5291609720324011,0,103.143
ST2C2F,female,before,control,ST2C2,299.99,NA,NA,NA,114.095,0,15.244,10.788,19.44,23.969,84.533,144.317,0,228.85000000000002,114.75500000000002,0.38252941764725495,0,NA
ST2C2M,male,before,control,ST2C2,299.99,0,0,72.24600000000001,19.015,0,18.517,47.293,13.396,89.145,27.496,102.215,0,129.711,110.69600000000001,0.3689989666322211,0,72.24600000000001
ST2C3F,female,before,control,ST2C3,299.99,NA,NA,NA,0,0,2.8739999999999997,11.742,4.858,83.21000000000001,1.25,194.156,2,195.406,195.406,0.6513750458348612,0,NA
ST2C3M,male,before,control,ST2C3,299.99,0,0,0,0,0,4.033,78.864,1.4,112.434,0.5,100.706,0,101.206,101.206,0.337364578819294,0,0
ST2C4F,female,before,control,ST2C4,299.99,NA,NA,NA,0,0,51.466,154.407,36.871,22.085,16.024,17.226,0,33.25,33.25,0.11083702790093003,0,NA
ST2C4M,male,before,control,ST2C4,299.99,13.991,9,89.658,2.252,0,39.645,166.334,19.993,40.827,6.99,24.495,0,31.485,29.233,0.09744658155271842,0,103.649
ST2C5F,female,before,control,ST2C5,299.99,NA,NA,NA,6.497,51.919,9.247,0,5.497,0,36.325,247.193,0,283.51800000000003,277.021,0.9234341144704824,0.1730691023034101,NA
