fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
ST2C2M,male,before,control,ST2C2,116.66,0,0,70.494,0.753,0,5.75,10.395,9.237,18.490000000000002,14.745999999999999,57.492000000000004,0
ST2C3F,female,before,control,ST2C3,116.66,NA,NA,NA,0,0,0,7.996,0,21.855,0,86.314,0
ST2C3M,male,before,control,ST2C3,116.66,0,0,0,0,0,0,30.87,0,40.048,0,44.82,0
ST2C4F,female,before,control,ST2C4,116.66,NA,NA,NA,0,0,4.913,103.701,0,5.321,0,1.998,0
ST2C4M,male,before,control,ST2C4,116.66,11.737,6,49.741,0,0,0,100.89500000000001,0,10.492,0,4.751,0
ST2C5F,female,before,control,ST2C5,116.66,NA,NA,NA,4.25,42.923,0,0,0,0,14.497,101.449,0
ST2C5M,male,before,control,ST2C5,116.66,25.244,4,43.172,0,0,0,19.746,0,11.997,14.499,69.903,0
ST2C6F,female,before,control,ST2C6,115.66,NA,NA,NA,0,0,32.226,25.17,13.752,10.164,17.641,16.151,0
ST2C6M,male,before,control,ST2C6,115.66,2.247,1,9,0,0,0,21.001,0,46.614999999999995,0,47.473,0
ST2C7F,female,before,control,ST2C7,115.66,NA,NA,NA,6.253,2.498,23.111,10.25,23.315,9.795,32.552,15.828000000000001,0
ST2C7M,male,before,control,ST2C7,115.66,0,0,2.998,0,1.75,31.573,18.212,8.248,22.731,12.903,21.235999999999997,0
ST2C8F,female,before,control,ST2C8,115.66,NA,NA,NA,44.96,0,27.518,0,17.237000000000002,0,69.965,0,0
ST2C8M,male,before,control,ST2C8,115.66,0,0,3.751,0,0,68.675,0.997,7.246,31.364,3,3.246,0
ST2C9F,female,before,control,ST2C9,115.66,NA,NA,NA,3.502,0,2.997,42.724000000000004,4.496,29.152,10.22,22.005000000000003,0
ST2C9M,male,before,control,ST2C9,115.66,4.243,6,4.75,3.419,0,18.573,17.248,20.486,9.739,34.812,13.247,0
ST2AC10F,female,after,alarm,ST2AC10,123.99,NA,NA,NA,1.059,50.902,0,0,28.653,0,44.67,50.050000000000004,0
ST2AC10M,male,after,alarm,ST2AC10,123.99,0,0,6.9990000000000006,7.971,1.999,0,0,0,0,41.462,81.775,0
ST2AC11F,female,after,alarm,ST2AC11,125.06,NA,NA,NA,16.810000000000002,0,0,0,0,0,97.184,26.901,0
ST2AC11M,male,after,alarm,ST2AC11,125.06,11.745999999999999,3,56.679,0,0,0,0,0,0,84.196,40.151,0
ST2AC14F,female,after,alarm,ST2AC14,125.44,NA,NA,NA,72.61500000000001,37.75,0,0,0,0,122.78999999999999,0,0
ST2AC14M,male,after,alarm,ST2AC14,125.44,20.996000000000002,5,0,3.252,8.503,0,0,3.495,0,107.89699999999999,13.244,0
ST2AC15F,female,after,alarm,ST2AC15,125.11000000000001,NA,NA,NA,2.503,55.61,0,0,0,0,18.509,105.832,0
ST2AC15M,male,after,alarm,ST2AC15,125.11000000000001,0,0,10.25,1.749,79.815,0,0,0,0,21.848,101.601,0
ST2AC16F,female,after,alarm,ST2AC16,125.06,NA,NA,NA,0,16.964,0,0,0,0,82.52,41.834999999999994,0
ST2AC16M,male,after,alarm,ST2AC16,125.06,9.249,2,56.622,0,33.751,0,0,0,0,80.327,44.024,0
ST2AC1F,female,after,alarm,ST2AC1,125.06,NA,NA,NA,4.755999999999999,20.738999999999997,0,0,0.553,0.499,55.108000000000004,68.156,0
ST2AC1M,male,after,alarm,ST2AC1,125.06,0,0,2.248,0,1.997,0,0,0.261,0,61.753,57.246,0
ST2AC2F,female,after,alarm,ST2AC2,125.06,NA,NA,NA,19.501,5.753,0,0,6.243,10.902000000000001,62.542,44.736999999999995,0
ST2AC2M,male,after,alarm,ST2AC2,125.06,0.747,1,17.616,0.5,0,4.249,0.748,3.498,11.245,65.736,38.636,0
ST2AC3F,female,after,alarm,ST2AC3,125.06,NA,NA,NA,35.403000000000006,0,2.6470000000000002,0.25,7.745000000000001,12.242,49.488,51.466,0
ST2AC3M,male,after,alarm,ST2AC3,125.06,41.754000000000005,12,17.242,7.114,0,7.396,3.495,23.981,25.454,35.489000000000004,28.362000000000002,0
ST2AC4F,female,after,alarm,ST2AC4,125.06,NA,NA,NA,14.509,0.75,10.242,8,6.992,22.521,45.159,21.247,0
ST2AC4M,male,after,alarm,ST2AC4,125.06,3.996,3,7.507,20.172,5.247,10.254,3.999,11.495,44.92100000000001,22.748,30.918,2
ST2AC5F,female,after,alarm,ST2AC5,125.06,NA,NA,NA,0,124.232,0,0,0,0,124.232,0,0
ST2AC5M,male,after,alarm,ST2AC5,125.06,0,0,0,0,123.60000000000001,0,0,0,0,0,124.35400000000001,0
ST2AC6F,female,after,alarm,ST2AC6,120.06,NA,NA,NA,26.757,0,11.653,0.749,20.072,15.604,49.148,21.996000000000002,0
ST2AC6M,male,after,alarm,ST2AC6,120.06,51.515,12,0,1.747,0,13.757,7.396,12.33,11.901,59.009,14.247,0
ST2AC7F,female,after,alarm,ST2AC7,123.99,NA,NA,NA,19.249000000000002,0,8.248,29.108999999999998,5.497,20.744,7.993,51.266999999999996,0
ST2AC7M,male,after,alarm,ST2AC7,123.99,0,0,5.253,4.5,0,11.749,32.391999999999996,4.5009999999999994,2.497,35.711,35.268,0
ST2AC8F,female,after,alarm,ST2AC8,123.99,NA,NA,NA,15.751,25.25,0,0,0,0,105.17099999999999,17.125999999999998,0
ST2AC8M,male,after,alarm,ST2AC8,123.99,21.178,3,21.502,0,36.25,0,0,13.497,0,100.287,9.554,0
ST2AC9F,female,after,alarm,ST2AC9,123.99,NA,NA,NA,37.595,0,0,0,2.495,1.9609999999999999,86.023,32.642,0
ST2AC9M,male,after,alarm,ST2AC9,123.99,10.244,6,21.22,0.786,0,0,0,1.5,0.587,83.453,37.891,0
ST2C10F,female,after,control,ST2C10,123.99,NA,NA,NA,5.499,0,69.832,6.989,21.497,0.495,22.991999999999997,1.502,0
ST2C10M,male,after,control,ST2C10,123.99,7.251,3,14.75,11.253,0,36.65,1.498,29.985999999999997,10.996,18.488,24.467,0
ST2C11F,female,after,control,ST2C11,124.48,NA,NA,NA,6.753,0,15.767,41.961999999999996,8.486,23.625999999999998,18.505,15.248000000000001,0
ST2C11M,male,after,control,ST2C11,124.48,15.339,4,86.644,0,0,18.775,49.029999999999994,5.245,19.223,19.994,11.248000000000001,0
ST2C12F,female,after,control,ST2C12,121.37,NA,NA,NA,15.514000000000001,0,22.747,11.988,6,12.151,23.365000000000002,39.964,0
ST2C12M,male,after,control,ST2C12,121.37,0,0,10.22,22.51,1.002,10.998,16.246,12.991,19.745,8.357,51.807,0
ST2C13F,female,after,control,ST2C13,125.06,NA,NA,NA,0,9.502,28.747,16.052,24.799,36.54900000000001,12.334000000000001,5.747,0
ST2C13M,male,after,control,ST2C13,125.06,0.751,1,9.491,0,0,0,3.24,13.225999999999999,71.389,5.24,30.975,1
ST2C14F,female,after,control,ST2C14,114.1,NA,NA,NA,0,8.999,1.998,37.607,7.245,28.398,0,38.108,1
ST2C14M,male,after,control,ST2C14,114.1,13.494,6,43.495999999999995,0,0.75,1.75,36.866,7.5009999999999994,28.378999999999998,0,38.854,0
ST2C15F,female,after,control,ST2C15,126.03,NA,NA,NA,1.002,0.75,9.243,3.999,23.737000000000002,9.222,51.635999999999996,27.263,0
ST2C15M,male,after,control,ST2C15,126.03,0,0,23.865000000000002,0,2.252,34.462,1.999,15.902000000000001,14.998,28.1,29.144000000000002,1
ST2C1F,female,after,control,ST2C1,125.06,NA,NA,NA,1.9969999999999999,0,48.173,18.702,14.469999999999999,8.004,24.497,10.488,0
ST2C1M,male,after,control,ST2C1,125.06,0,0,17.994,0,0,59.477000000000004,13.746,22.472,6.002,15.739,6.741,1
ST2C2F,female,after,control,ST2C2,125.06,NA,NA,NA,87.535,0,0,2.999,6.242,0.497,41.748,72.842,0
ST2C2M,male,after,control,ST2C2,125.06,1.002,1,13.751000000000001,8.002,0,12.738,0.999,13.568,17.237000000000002,31.488,48.053,0
ST2C3F,female,after,control,ST2C3,125.06,NA,NA,NA,2.497,0,0,8.254999999999999,0,38.92,0,77.011,1
ST2C3M,male,after,control,ST2C3,125.06,0,0,0,1.7530000000000001,0,0,17.494,0,58.058,0,48.766999999999996,0
ST2C4F,female,after,control,ST2C4,125.06,NA,NA,NA,0,0,35.15,43.953,14.741,15.242999999999999,7.516,7.497,0
ST2C4M,male,after,control,ST2C4,125.06,0,0,11.236,0.667,0,9.395999999999999,36.67,8.492,34.399,2.001,33.349000000000004,0
ST2C5F,female,after,control,ST2C5,125.06,NA,NA,NA,0,0,7.75,18.652,0,13.003,0,84.993,0
ST2C5M,male,after,control,ST2C5,125.06,12.493,5,83.294,0,0,11.151,14.747,0,7.497,0.001,90.944,1
ST2C6F,female,after,control,ST2C6,123.99,NA,NA,NA,0.748,0,3.746,0,24.959,10.145999999999999,37.482,46.763999999999996,0
ST2C6M,male,after,control,ST2C6,123.99,5.496,4,68.391,0,0,2.996,0,18.551,16.487,27.995,56.257999999999996,0
ST2C7F,female,after,control,ST2C7,123.99,NA,NA,NA,15.496,5.253,25.838,15.924,31.341,3,45.233,1.246,0
ST2C7M,male,after,control,ST2C7,123.99,0,0,33.282,0,4.501,35.15,17.931,39.501,13.745,14.738999999999999,2.25,1
ST2C8F,female,after,control,ST2C8,123.99,NA,NA,NA,17.747,0,4.744,0,26.936,0,91.29599999999999,0,0
ST2C8M,male,after,control,ST2C8,123.99,2,1,25.832,0,0,26.651999999999997,24.746,30.841,0,41.083,0,0
ST2C9F,female,after,control,ST2C9,123.99,NA,NA,NA,12.747,0,29.218,1.496,30.651000000000003,7.999,49.65,2.75,0
ST2C9M,male,after,control,ST2C9,123.99,16.756,9,5.745,0,0,43.896,5.251,34.285,1.746,33.855,3.495,0
