sample,uni_reads,dup_reads
ST2C4F_2-2314403_S7_L001_R2_001,33649013,3379389
ST2C4M_2-2314348_S2_L001_R1_001,43805164,4475733
ST2C4M_2-2314348_S2_L001_R2_001,43549249,4731648
ST2C5F_2-2314418_S22_L001_R1_001,37438650,3828229
ST2C5F_2-2314418_S22_L001_R2_001,37210213,4056666
ST2C5M_2-2314429_S33_L001_R1_001,29573790,2814916
ST2C5M_2-2314429_S33_L001_R2_001,29429442,2959264
ST2C6F_2-2314443_S47_L001_R1_001,31560014,3021990
ST2C6F_2-2314443_S47_L001_R2_001,31386080,3195924
ST2C6M_2-2314402_S6_L001_R1_001,35579473,3452665
ST2C6M_2-2314402_S6_L001_R2_001,35418989,3613149
ST2C7F_2-2314445_S49_L001_R1_001,31878905,3272986
ST2C7F_2-2314445_S49_L001_R2_001,31709326,3442565
ST2C7M_2-2314442_S46_L001_R1_001,35879582,3681780
ST2C7M_2-2314442_S46_L001_R2_001,35713379,3847983
ST2C8F_2-2314438_S42_L001_R1_001,38753340,3932007
ST2C8F_2-2314438_S42_L001_R2_001,38601765,4083582
ST2C8M_2-2314503_S57_L001_R1_001,36926667,3714935
ST2C8M_2-2314503_S57_L001_R2_001,36776436,3865166
ST2C9F_2-2314410_S14_L001_R1_001,32814244,3197404
ST2C9F_2-2314410_S14_L001_R2_001,32642406,3369242
ST2C9M_2-2314423_S27_L001_R1_001,43125850,4518220
ST2C9M_2-2314423_S27_L001_R2_001,43065566,4578504
