ID,cue,sex,tank,shoal_side,int_L_s,int_L_lat_s,int_R_s,int_R_lat_s,tight_L_s,tight_L_lat_s,tight_R_s,tight_r_lat_s,lse_L_s,lse_L_lat_s,lse_R_s,lse_R_lat_s,int_shoal_s,int_shoal_lat_s,int_emp_s,int_emp_lat_s,tight_shoal_s,tight_shoal_lat_s,tight_emp_s,tight_emp_lat_s,lse_shoal_s,lse_shoal_lat_s,lse_emp_s,lse_emp_lat_s
C7M2,control,m,C7,left,32.3398,44.4089,98.5864,5.40108,7.63486,23.2046,17.9369,4.76762,34.3735,18.537,29.9393,1.3336,98.5864,5.40108,32.3398,44.4089,17.9369,4.76762,7.63486,23.2046,29.9393,1.3336,34.3735,18.537
C7M3,control,m,C7,left,5.63378,19.5682,103.708,87.407,5.86714,18.5348,62.005,62.005,13.6678,12.9677,56.4045,3.03358,103.708,87.407,5.63378,19.5682,62.005,62.005,5.86714,18.5348,56.4045,3.03358,13.6678,12.9677
C7M5,control,m,C7,left,0,-,244.486,1.76681,0,-,45.237,36.6696,0,-,5.80046,37.6697,244.486,1.76681,0,-,45.237,36.6696,0,-,5.80046,37.6697,0,-
AC2F6,alarm,f,AC2,right,285.79,14.2678,0,-,1.23343,12.6343,0,-,0.733392,11.6009,0,-,285.79,14.2678,0,-,1.23343,12.6343,0,-,0.733392,11.6009,0,-
AC2F7,alarm,f,AC2,right,129.144,6.36718,38.4697,54.0377,35.2695,5.03374,13.2677,52.2708,6.70054,3.96698,14.9012,50.7041,129.144,6.36718,38.4697,54.0377,35.2695,5.03374,13.2677,52.2708,6.70054,3.96698,14.9012,50.7041
AC3M1,alarm,m,AC3,right,186.058,35.9613,0,-,50.2497,35.2057,0,-,12.7427,32.9731,1.27084,10.6132,186.058,35.9613,0,-,50.2497,35.2057,0,-,12.7427,32.9731,1.27084,10.6132
AC3M2,alarm,m,AC3,right,204.101,32.0054,0,-,48.0082,30.4718,0,-,7.63463,29.305,0,-,204.101,32.0054,0,-,48.0082,30.4718,0,-,7.63463,29.305,0,-
AC4F1,alarm,f,AC4,right,271.814,23.0011,0,-,3.4335,22.3678,0,-,1.16673,20.9677,0,-,271.814,23.0011,0,-,3.4335,22.3678,0,-,1.16673,20.9677,0,-
AC4F2,alarm,f,AC4,right,114.843,26.1688,0,-,74.3393,25.202,0,-,61.3049,23.0352,0,-,114.843,26.1688,0,-,74.3393,25.202,0,-,61.3049,23.0352,0,-
AC4F5,alarm,f,AC4,right,187.948,30.9358,0,-,31.7025,30.0357,0,-,27.3689,28.769,0,-,187.948,30.9358,0,-,31.7025,30.0357,0,-,27.3689,28.769,0,-
